Date,EUR,GBP,CAD,AUD,JPY
3/16/1999,0.909421608,0.613873542,1.5278,1.599232368,117.52
3/17/1999,0.90892565,0.61338404,1.5213,1.592103168,118.28
3/18/1999,0.911410864,0.613948919,1.5183,1.589825119,117.47
3/19/1999,0.917767988,0.613911228,1.5145,1.586042823,117.14
3/22/1999,0.916758343,0.614326084,1.5033,1.568135487,118.33
3/23/1999,0.918020747,0.610537884,1.5081,1.564455569,118.16
3/24/1999,0.919878576,0.611807892,1.5084,1.569365976,118.09
3/25/1999,0.922594335,0.61599113,1.5068,1.567398119,118.21
3/26/1999,0.925925926,0.615763547,1.5138,1.574059499,120.3
3/29/1999,0.931792769,0.618926781,1.5129,1.581777918,120.27
3/30/1999,0.931792769,0.620231967,1.5093,1.595405233,120.28
3/31/1999,0.929195317,0.620655412,1.5063,1.576541069,118.9
4/1/1999,0.926354794,0.624063904,1.4993,1.57629256,120.77
4/2/1999,0.927127758,0.623480267,1.496,1.57629256,120.52
4/5/1999,0.933532487,0.625,1.501,1.584032948,121.78
4/6/1999,0.923361034,0.628338046,1.5025,1.590077914,120.58
4/7/1999,0.928074246,0.626487909,1.4977,1.593879503,121.38
4/8/1999,0.93092534,0.622587474,1.4991,1.595914459,121.17
4/9/1999,0.926183199,0.620925179,1.5003,1.583029919,121
4/12/1999,0.925583117,0.620347395,1.4913,1.573316551,120.37
4/13/1999,0.927471712,0.61850569,1.4903,1.571338781,119.78
4/14/1999,0.92575449,0.620616893,1.4938,1.57778479,118.75
4/15/1999,0.933445347,0.621619942,1.4883,1.555451859,119.15
4/16/1999,0.934142924,0.619578686,1.4785,1.544878727,117.84
4/19/1999,0.938086304,0.620693936,1.4865,1.534448366,117.6
4/20/1999,0.941087898,0.621388181,1.4895,1.54726907,118.95
4/21/1999,0.944822373,0.62282013,1.486,1.547748027,119.85
4/22/1999,0.939319932,0.618467438,1.4797,1.535390757,119.53
4/23/1999,0.943485234,0.620809536,1.4754,1.534683855,119.13
4/26/1999,0.944287063,0.620462865,1.476,1.541544628,119.25
4/27/1999,0.937910336,0.618390947,1.48,1.539408867,120.29
4/28/1999,0.941530929,0.619885941,1.473,1.526717557,119.1
4/29/1999,0.942684766,0.62150404,1.463,1.515381118,119.18
4/30/1999,0.946073794,0.621310966,1.4565,1.512172993,119.48
5/3/1999,0.946342387,0.621426796,1.4472,1.507386192,120.31
5/4/1999,0.940733772,0.613986615,1.4521,1.514921982,120.82
5/5/1999,0.929195317,0.611097531,1.4495,1.506704837,120.47
5/6/1999,0.926612305,0.609904855,1.4548,1.491201909,120.58
5/7/1999,0.929627219,0.61368518,1.4575,1.487652484,120.81
5/10/1999,0.927471712,0.615195325,1.4616,1.500825454,120.55
5/11/1999,0.933445347,0.616067028,1.4569,1.493428913,120.95
5/12/1999,0.939319932,0.618276246,1.4585,1.499250375,120.94
5/13/1999,0.938438438,0.616903146,1.4574,1.497005988,121.78
5/14/1999,0.938174313,0.617703379,1.4644,1.506024096,122.84
5/17/1999,0.937031484,0.618238022,1.4601,1.504211793,123.57
5/18/1999,0.936855912,0.616903146,1.4676,1.500150015,123.32
5/19/1999,0.937822376,0.618543948,1.4693,1.515840534,124.3
5/20/1999,0.941353667,0.622161389,1.4662,1.513775356,124.33
5/21/1999,0.944733113,0.624570608,1.4609,1.520681265,124
5/24/1999,0.94277364,0.625508225,1.4558,1.518602885,123.2
5/25/1999,0.94126506,0.62316944,1.4674,1.540832049,122.25
5/26/1999,0.95757924,0.627352572,1.4706,1.542495758,122.38
5/27/1999,0.959416675,0.625821391,1.4765,1.5417823,120.15
5/28/1999,0.958864704,0.624102852,1.4725,1.53256705,121.56
5/31/1999,0.959692898,0.623986023,1.4734,1.541069502,121.8
6/1/1999,0.95712098,0.620308914,1.4835,1.552553951,120.73
6/2/1999,0.965250965,0.623247117,1.4792,1.55159038,121.49
6/3/1999,0.968523002,0.622936523,1.4761,1.540357363,121.5
6/4/1999,0.963669654,0.620809536,1.4698,1.518602885,122.24
6/7/1999,0.968241673,0.625195374,1.4679,1.518141794,120.8
6/8/1999,0.955474871,0.622742558,1.4751,1.519756839,119.23
6/9/1999,0.955474871,0.624063904,1.4723,1.517220452,119.12
6/10/1999,0.953925403,0.623014142,1.4628,1.512172993,118.96
6/11/1999,0.950660709,0.61850569,1.4619,1.502403846,117.9
6/14/1999,0.959416675,0.622471211,1.4608,1.506704837,120.61
6/15/1999,0.959048624,0.627234523,1.464,1.518833536,120.43
6/16/1999,0.970120295,0.629683269,1.4594,1.523693433,120.42
6/17/1999,0.966837475,0.627352572,1.462,1.521375323,119.41
6/18/1999,0.961723408,0.626213288,1.4644,1.53256705,120.47
6/21/1999,0.966463709,0.628298567,1.4703,1.538698261,122.38
6/22/1999,0.968523002,0.628614534,1.4699,1.529285824,121.7
6/23/1999,0.967398665,0.632591093,1.4723,1.518833536,121.93
6/24/1999,0.960338039,0.629802242,1.4725,1.519525908,121.91
6/25/1999,0.958772771,0.63000063,1.466,1.511487304,121.47
6/28/1999,0.967960507,0.631991405,1.4693,1.522533496,121.51
6/29/1999,0.969086152,0.635808749,1.4768,1.523925632,121
6/30/1999,0.966090233,0.63379389,1.4631,1.498351813,121.1
7/1/1999,0.977517107,0.635768326,1.4645,1.501050736,120.78
