"Date","Open","High","Low","Close","Volume","Adj Close"
"1/2/1990",353.399994,359.690002,351.980011,359.690002,1.6207E+08,359.690002
"1/3/1990",359.690002,360.589996,357.890015,358.76001,1.9233E+08,358.76001
"1/4/1990",358.76001,358.76001,352.890015,355.670013,1.77E+08,355.670013
"1/5/1990",355.670013,355.670013,351.350006,352.200012,1.5853E+08,352.200012
"1/8/1990",352.200012,354.23999,350.540009,353.790009,1.4011E+08,353.790009
"1/9/1990",353.829987,354.170013,349.609985,349.619995,1.5521E+08,349.619995
"1/10/1990",349.619995,349.619995,344.320007,347.309998,1.7599E+08,347.309998
"1/11/1990",347.309998,350.140015,347.309998,348.529999,1.5439E+08,348.529999
"1/12/1990",348.529999,348.529999,339.48999,339.929993,1.8388E+08,339.929993
"1/15/1990",339.929993,339.940002,336.570007,337,1.4059E+08,337
"1/16/1990",337,340.75,333.369995,340.75,1.8607E+08,340.75
"1/17/1990",340.769989,342.01001,336.26001,337.399994,1.7047E+08,337.399994
"1/18/1990",337.399994,338.380005,333.980011,338.190002,1.7859E+08,338.190002
"1/19/1990",338.190002,340.480011,338.190002,339.149994,1.8559E+08,339.149994
"1/22/1990",339.140015,339.959991,330.279999,330.380005,1.4838E+08,330.380005
"1/23/1990",330.380005,332.76001,328.670013,331.609985,1.793E+08,331.609985
"1/24/1990",331.609985,331.709991,324.170013,330.26001,2.0783E+08,330.26001
"1/25/1990",330.26001,332.329987,325.329987,326.079987,1.7227E+08,326.079987
"1/26/1990",326.089996,328.579987,321.440002,325.799988,1.9819E+08,325.799988
"1/29/1990",325.799988,327.309998,321.790009,325.200012,1.5077E+08,325.200012
"1/30/1990",325.200012,325.730011,319.829987,322.980011,1.8603E+08,322.980011
"1/31/1990",322.980011,329.079987,322.980011,329.079987,1.8966E+08,329.079987
"2/1/1990",329.079987,329.859985,327.76001,328.790009,1.5458E+08,328.790009
"2/2/1990",328.790009,332.100006,328.089996,330.920013,1.644E+08,330.920013
"2/5/1990",330.920013,332.160004,330.450012,331.850006,1.3095E+08,331.850006
"2/6/1990",331.850006,331.859985,328.200012,329.660004,1.3407E+08,329.660004
"2/7/1990",329.660004,333.76001,326.549988,333.75,1.8671E+08,333.75
